name_of_centre,postal_code,Latitude,Longitude
Adam Road Food Centre,289876,1.3241,103.8142
Amoy Street Food Centre,69111,1.2793,103.8466
Bedok Food Centre,469572,1.3203,103.9555
Beo Crescent Market,169982,1.2888,103.8274
Berseh Food Centre,208877,1.3073,103.8569
Bukit Timah Market,588215,1.3395,103.776
Chomp Chomp Food Centre,557269,1.3642,103.8665
Commonwealth Crescent Market,149644,1.307,103.8004
Dunman Food Centre,424768,1.3094,103.9018
East Coast Lagoon Food Village,468960,1.3071,103.935
Geylang Serai Market,402001,1.3167,103.8981
Golden Mile Food Centre,199583,1.3031,103.8639
Holland Village Market & Food Centre,277700,1.3111,103.7949
Kallang Estate Market,397972,1.3073,103.884
Market Street Food Centre,48940,1.285,103.8502
Market Street Food Centre,48940,1.28457,103.85011
Maxwell Food Centre,69184,1.2804,103.8447
Newton Food Centre,229495,1.3119999999999998,103.8396
North Bridge Road Market & Food Centre,198783,1.3059,103.864
Pasir Panjang Food Centre,118543,1.2758,103.7915
Serangoon Garden Market,555945,1.3629,103.8664
Sembawang Hill Food Centre,574419,1.3723,103.829
Taman Jurong Market & Food Centre,618499,1.3347,103.7216
Tanglin Halt Market,148813,1.3005,103.7977
Tiong Bahru Market,168898,1.2847,103.8323
Zion Riverside Food Centre,247792,1.2923,103.8311
ABC Brickworks Market & Food Centre,150006,1.2869,103.8082
Albert Centre Market & Food Centre,180270,1.301,103.8541
Alexandra Village Food Centre,150120,1.2863,103.8045
Blk 1 Jalan Kukoh,161001,1.2882,103.8399
Blk 105 Hougang Ave 1,530105,1.3541,103.8901
Blk 11 Telok Blangah Crescent,90011,1.2774,103.8187
Blk 112 Jalan Bukit Merah,160112,1.28,103.826
Blk 115 Bukit Merah View,151115,1.2855,103.8218
Blk 117 Aljunied Ave 2,380117,1.3206,103.887
Blk 127 Toa Payoh Lorong 1,310127,1.3381,103.8447
Blk 137 Tampines Street 11,521137,1.3454,103.9446
Blk 159 Mei Chin Road,140159,1.2932,103.8029
Blk 16 Bedok South Road,460016,1.3205,103.9355
Blk 163 Bukit Merah Central,150163,1.2838,103.817
Blk 17 Upper Boon Keng Road,380017,1.315,103.8716
Blk 20 Ghim Moh Road,270020,1.311,103.7882
Blk 208B New Upper Changi Road,462208,1.3248,103.9306
Blk 210 Toa Payoh Lorong 8,310210,1.3402,103.8545
Blk 216 Bedok North Street 1,460216,1.3271,103.9332
Blk 22 Toa Payoh Lorong 7,310022,1.3354,103.857
Blk 226D Ang Mo Kio Ave 1,564226,1.3668,103.8391
Blk 226H Ang Mo Kio Street 22,568226,1.3672,103.8401
Blk 254 Jurong East Street 24,600254,1.3435,103.7377
Blk 29 Bendemeer Road,330029,1.3192,103.863
Blk 320 Shunfu Road,570320,1.352,103.837
Blk 341 Ang Mo Kio Ave 1,560341,1.364,103.8482
Blk 347 Jurong East Ave 1,600347,1.3454,103.7316
Blk 353 Clementi Ave 2,120353,1.3144,103.7709
Blk 36 Telok Blangah Rise,90036,1.2727,103.8222
Blk 37A Teban Gardens Road,601037,1.3208,103.7427
Blk 409 Ang Mo Kio Ave 10,560409,1.3627,103.8553
Blk 44 Holland Drive,270044,1.3081,103.7928
Blk 448 Clementi Ave 3,120448,1.3133,103.7645
Blk 453A Ang Mo Kio Ave 10,561453,1.3682,103.8564
Blk 49 Sims Place,380049,1.317,103.8793
Blk 4A Eunos Crescent,402004,1.3203,103.9043
Blk 4A Jalan Batu,432004,1.3024,103.8839
Blk 4A Woodlands Centre Road,731004,1.44129,103.77009
Blk 502 West  Coast Drive,120502,1.3119,103.7591
Blk 503 West Coast Drive,120503,1.3118,103.7598
Blk 505 Jurong West Street 52,640505,1.3497,103.7184
Blk 50A Marine Terrace,441050,1.3057,103.9157
Blk 51 Old Airport Road,390051,1.3082,103.8858
Blk 511 Bedok North Street 3,460511,1.3332,103.9306
Blk 527 Ang Mo Kio Ave 10,560527,1.3728,103.8545
Blk 538 Bedok North Street 3,460538,1.3321,103.9246
Blk 58 New Upper Changi Road,461058,1.3242,103.9411
Blk 6 Tanjong Pagar Plaza,81006,1.2766,103.8432
Blk 628 Ang Mo Kio Ave 4,560628,1.381,103.8406
Blk 630 Bedok Reservoir Road,470630,1.3328,103.9143
Blk 69 Geylang Bahru,330069,1.3215,103.87
Blk 7 Empress Road,260007,1.3162,103.8056
Blk 724 Ang Mo Kio Ave 6,560724,1.3722,103.8465
Blk 726 Clementi West Street 2,120726,1.3038,103.7643
Blk 74 Toa Payoh Lorong 4,310074,1.3346,103.852
Blk 75 Toa Payoh Lorong 5,310075,1.336,103.853
Blk 79 Redhill Lane,150079,1.2878,103.8184
Blk 79 Telok Blangah Drive,100079,1.2734,103.8076
Blk 80 Circuit Road,370080,1.3278,103.8871
Blk 82 Telok Blangah Drive,100082,1.2738,103.8078
Blk 84 Marine Parade Central,440084,1.3023,103.9063
Blk 85 Bedok North Street 4,460085,1.332,103.9388
Blk 85 Redhill Lane,150085,1.2873,103.8183
Blk 89 Circuit Road,370089,1.3236,103.8854
Blk 90 Whampoa Drive,320090,1.3231,103.855
Blk 93 Toa Payoh Lorong 4,310093,1.3385,103.8495
Blks 13/14 Haig Road,430013,1.3151,103.8956
Blks 160/162 Ang Mo Kio Ave 4,560160,1.3744,103.8391
Blks 1A/ 2A/ 3A Commonwealth Drive,141001,1.2997,103.7978
Blks 2 & 3 Changi Village Road,500002,1.3892,103.9882
Blks 20/21 Marsiling Lane,730020,1.4434,103.777
Blks 221 A/B Boon Lay Place,641221,1.3452,103.7128
Blks 22A/B Havelock Road,161022,1.288,103.8296
Blks 79/79A Circuit Road,370079,1.3266,103.8851
Blks 91/92 Whampoa Drive,320091,1.3234,103.8541
Chinatown Market,50335,1.2823,103.8432
Chong Pang Market & Food Centre,760104,1.4314,103.8285
Hong Lim Market & Food Centre,51531,1.2853,103.8458
Kovan Market & Food Centre,530209,1.3591,103.8861
Pek Kio Market & Food Centre,211041,1.3161,103.8502
People's Park Food Centre,50032,1.2849,103.8426
Tekka Market,210665,1.3062,103.8506
